"Relative Time","acker","Action_Transaction","vuser_end_Transaction","vuser_init_Transaction"
"17:16","2.1","2.1","",""
"17:17","2.077","2.077","",""
"17:18","2.096","2.096","",""
"17:19","2.145","2.145","",""
"17:20","2.139","2.139","",""
"17:21","2.111","2.112","",""
"17:22","2.104","2.104","",""
"17:23","2.085","2.086","",""
"17:24","2.087","2.088","",""
"17:25","2.081","2.082","",""
"17:26","2.071","2.071","",""
"17:27","2.042","2.043","",""
"17:28","2","2.001","",""
"17:29","2.06","2.06","",""
"17:30","2.111","2.111","",""
"17:31","1.962","1.962","",""
"17:32","1.918","1.918","",""
"17:33","2.035","2.035","",""
"17:34","2.073","2.073","",""
"17:35","2.07","2.07","",""
"17:36","2.069","2.069","",""
"17:37","2.104","2.105","",""
"17:38","2.118","2.118","",""
"17:39","2.108","2.109","",""
"17:40","2.109","2.109","",""
"17:41","2.112","2.112","",""
"17:42","2.051","2.052","",""
"17:43","2.052","2.052","",""
"17:44","2.093","2.093","",""
"17:45","2.091","2.091","",""
"17:46","2.063","2.063","",""
"17:47","2.073","2.073","",""
"17:48","2.086","2.086","",""
"17:49","2.081","2.082","",""
"17:50","2.067","2.067","",""
"17:51","2.036","2.036","",""
"17:52","2.043","2.043","",""
"17:53","2.07","2.07","",""
"17:54","2.059","2.059","",""
"17:55","2.049","2.049","",""
"17:56","2.08","2.08","",""
"17:57","2.064","2.064","",""
"17:58","2.041","2.041","",""
"17:59","2.106","2.106","",""
"18:00","2.115","2.115","",""
"18:01","2.113","2.113","",""
"18:02","2.109","2.109","",""
"18:03","2.074","2.074","",""
"18:04","2.078","2.078","",""
"18:05","2.107","2.107","",""
"18:06","2.134","2.134","",""
"18:07","2.115","2.115","",""
"18:08","2.109","2.11","",""
"18:09","2.113","2.113","",""
"18:10","2.1","2.1","",""
"18:11","2.054","2.054","",""
"18:12","2.035","2.036","",""
"18:13","2.105","2.106","",""
"18:14","2.116","2.116","",""
"18:15","2.092","2.093","",""
"18:16","2.176","2.177","",""
"18:17","2.19","2.19","",""
"18:18","2.127","2.128","",""
"18:19","2.126","2.126","",""
"18:20","2.118","2.118","",""
"18:21","2.11","2.111","",""
"18:22","2.093","2.093","",""
"18:23","2.071","2.071","",""
"18:24","2.055","2.055","",""
"18:25","2.059","2.059","",""
"18:26","2.076","2.076","",""
"18:27","2.078","2.078","",""
"18:28","2.096","2.096","",""
"18:29","2.095","2.095","",""
"18:30","2.078","2.078","",""
"18:31","2.089","2.09","",""
"18:32","2.089","2.089","",""
"18:33","2.076","2.076","",""
"18:34","2.103","2.103","",""
"18:35","2.131","2.131","",""
"18:36","2.094","2.094","",""
"18:37","2.038","2.039","",""
"18:38","2.045","2.046","",""
"18:39","2.086","2.086","",""
"18:40","2.101","2.101","",""
"18:41","2.103","2.104","",""
"18:42","2.095","2.095","",""
"18:43","2.08","2.08","",""
"18:44","2.083","2.083","",""
"18:45","2.101","2.101","",""
"18:46","2.06","2.06","",""
"18:47","2.048","2.048","",""
"18:48","2.084","2.084","",""
"18:49","2.1","2.1","",""
"18:50","2.097","2.097","",""
"18:51","2.078","2.079","",""
"18:52","2.095","2.095","",""
"18:53","2.149","2.149","",""
"18:54","2.123","2.124","",""
"18:55","2.078","2.078","",""
"18:56","2.066","2.066","",""
"18:57","2.056","2.056","",""
"18:58","2.052","2.052","",""
"18:59","2.078","2.078","",""
"19:00","2.116","2.116","",""
"19:01","2.127","2.127","",""
"19:02","2.13","2.13","",""
"19:03","2.125","2.125","",""
"19:04","2.12","2.12","",""
"19:05","2.094","2.095","",""
"19:06","2.112","2.112","",""
"19:07","2.135","2.135","",""
"19:08","2.032","2.032","",""
"19:09","2.014","2.014","",""
"19:10","2.113","2.113","",""
"19:11","2.139","2.14","",""
"19:12","2.173","2.174","",""
"19:13","2.129","2.13","",""
"19:14","2.052","2.052","",""
"19:15","2.069","2.069","",""
"19:16","2.072","2.072","",""
"19:17","2.096","2.096","",""
"19:18","2.095","2.095","",""
"19:19","2.072","2.072","",""
"19:20","2.087","2.088","",""
"19:21","2.096","2.096","",""
"19:22","2.098","2.098","",""
"19:23","2.092","2.093","",""
"19:24","2.108","2.108","",""
"19:25","2.086","2.086","",""
"19:26","2.052","2.052","",""
"19:27","2.079","2.079","",""
"19:28","2.088","2.088","",""
"19:29","2.092","2.092","",""
"19:30","2.125","2.125","",""
"19:31","2.103","2.103","",""
"19:32","2.054","2.054","",""
"19:33","2.031","2.031","",""
"19:34","2.01","2.01","",""
"19:35","2.032","2.032","",""
"19:36","2.012","2.012","",""
"19:37","1.962","1.963","",""
"19:38","1.972","1.972","",""
"19:39","2.04","2.04","",""
"19:40","2.078","2.078","",""
"19:41","2.082","2.082","",""
"19:42","2.153","2.153","",""
"19:43","2.174","2.175","",""
"19:44","2.131","2.132","",""
"19:45","2.053","2.053","",""
"19:46","1.967","1.967","",""
"19:47","2.027","2.028","",""
"19:48","2.109","2.11","",""
"19:49","2.088","2.088","",""
"19:50","2.116","2.116","",""
"19:51","2.082","2.082","",""
"19:52","2.104","2.104","",""
"19:53","2.137","2.137","",""
"19:54","2.064","2.064","",""
"19:55","2.077","2.077","",""
"19:56","2.117","2.117","",""
"19:57","2.103","2.103","",""
"19:58","2.081","2.081","",""
"19:59","2.062","2.063","",""
"20:00","2.065","2.065","",""
"20:01","2.056","2.057","",""
"20:02","2.037","2.037","",""
"20:03","2.045","2.046","",""
"20:04","2.096","2.097","",""
"20:05","2.143","2.144","",""
"20:06","2.114","2.115","",""
"20:07","2.096","2.096","",""
"20:08","2.114","2.114","",""
"20:09","2.042","2.043","",""
"20:10","2.048","2.048","",""
"20:11","2.117","2.117","",""
"20:12","2.12","2.12","",""
"20:13","2.063","2.063","",""
"20:14","2.043","2.043","",""
"20:15","2.073","2.074","",""
"20:16","2.082","2.083","",""
"20:17","2.079","2.08","",""
"20:18","2.084","2.085","",""
"20:19","2.076","2.076","",""
"20:20","2.096","2.096","",""
"20:21","2.13","2.13","",""
"20:22","2.114","2.115","",""
"20:23","2.1","2.1","",""
"20:24","2.067","2.067","",""
"20:25","2.041","2.042","",""
"20:26","2.047","2.048","",""
"20:27","2.052","2.052","",""
"20:28","2.073","2.073","",""
"20:29","2.072","2.072","",""
"20:30","2.082","2.082","",""
"20:31","2.083","2.084","",""
"20:32","2.043","2.043","",""
"20:33","2.032","2.033","",""
"20:34","2.086","2.087","",""
"20:35","2.124","2.124","",""
"20:36","2.156","2.156","",""
"20:37","2.164","2.164","",""
"20:38","2.126","2.127","",""
"20:39","2.137","2.137","",""
"20:40","2.206","2.206","",""
"20:41","2.223","2.223","",""
"20:42","2.215","2.216","",""
"20:43","2.216","2.217","",""
"20:44","2.211","2.212","",""
"20:45","2.233","2.234","",""
"20:46","2.245","2.246","",""
"20:47","2.244","2.244","",""
"20:48","2.218","2.218","",""
"20:49","2.206","2.206","",""
"20:50","2.205","2.205","",""
"20:51","2.181","2.182","",""
"20:52","2.189","2.19","",""
"20:53","2.199","2.199","",""
"20:54","2.183","2.184","",""
"20:55","2.192","2.192","",""
"20:56","2.2","2.2","",""
"20:57","2.215","2.215","",""
"20:58","2.222","2.222","",""
"20:59","2.189","2.19","",""
"21:00","2.143","2.143","",""
"21:01","2.172","2.172","",""
"21:02","2.226","2.226","",""
"21:03","2.23","2.23","",""
"21:04","2.198","2.198","",""
"21:05","2.2","2.2","",""
"21:06","2.199","2.199","",""
"21:07","2.188","2.189","",""
"21:08","2.192","2.192","",""
"21:09","2.216","2.216","",""
"21:10","2.24","2.241","",""
"21:11","2.249","2.249","",""
"21:12","2.207","2.207","",""
"21:13","2.191","2.191","",""
"21:14","2.185","2.185","",""
"21:15","2.146","2.146","",""
"21:16","2.133","2.133","",""
"21:17","2.163","2.164","",""
"21:18","2.19","2.19","",""
"21:19","2.19","2.19","",""
"21:20","2.185","2.186","",""
"21:21","2.192","2.192","",""
"21:22","2.203","2.203","",""
"21:23","2.194","2.194","",""
"21:24","2.172","2.172","",""
"21:25","2.122","2.122","",""
"21:26","2.107","2.107","",""
"21:27","2.142","2.142","",""
"21:28","2.17","2.17","",""
"21:29","2.184","2.184","",""
"21:30","2.207","2.207","",""
"21:31","2.228","2.228","",""
"21:32","2.23","2.231","",""
"21:33","2.212","2.212","",""
"21:34","2.221","2.222","",""
"21:35","2.224","2.224","",""
"21:36","2.197","2.198","",""
"21:37","2.191","2.191","",""
"21:38","2.188","2.189","",""
"21:39","2.179","2.179","",""
"21:40","2.173","2.173","",""
"21:41","2.165","2.165","",""
"21:42","2.173","2.173","",""
"21:43","2.179","2.179","",""
"21:44","2.179","2.179","",""
"21:45","2.201","2.201","",""
"21:46","2.213","2.213","",""
"21:47","2.237","2.237","",""
"21:48","2.229","2.229","",""
"21:49","2.214","2.215","",""
"21:50","2.22","2.22","",""
"21:51","2.209","2.209","",""
"21:52","2.207","2.207","",""
"21:53","2.248","2.248","",""
"21:54","2.242","2.242","",""
"21:55","2.198","2.199","",""
"21:56","2.194","2.194","",""
"21:57","2.208","2.209","",""
"21:58","2.2","2.2","",""
"21:59","2.193","2.193","",""
"22:00","2.215","2.215","",""
"22:01","2.233","2.233","",""
"22:02","2.239","2.239","",""
"22:03","2.261","2.261","",""
"22:04","2.278","2.279","",""
"22:05","2.105","2.105","",""
"22:06","2.048","2.048","",""
"22:07","2.164","2.164","",""
"22:08","2.124","2.125","",""
"22:09","1.982","1.982","",""
"22:10","2.003","2.003","",""
"22:11","2.129","2.129","",""
"22:12","2.153","2.154","",""
"22:13","2.191","2.191","",""
"22:14","2.216","2.216","",""
"22:15","2.219","2.219","",""
"22:16","2.235","2.235","",""
"22:17","2.251","2.251","",""
"22:18","2.19","2.19","0",""
"22:19","2.114","2.114","0",""
"22:20","2.117","2.117","0",""
